,level_0,timestamp,device,metric,value,Consumption by hour
61,0,2023-10-01 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,273.0,0.0
62,0,2023-10-01 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,273.0,0.0
63,0,2023-10-01 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,274.0,1.0
64,0,2023-10-01 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,276.0,2.0
65,0,2023-10-01 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,276.0,0.0
66,0,2023-10-01 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,277.0,1.0
67,0,2023-10-01 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,277.0,0.0
68,0,2023-10-01 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,278.0,1.0
69,0,2023-10-01 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,279.0,1.0
70,0,2023-10-01 15:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,280.0,1.0
71,0,2023-10-01 16:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,280.0,0.0
72,0,2023-10-01 17:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,282.0,2.0
73,0,2023-10-01 18:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,284.0,2.0
74,0,2023-10-01 19:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,284.0,0.0
75,0,2023-10-01 20:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,284.0,0.0
76,0,2023-10-01 21:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,285.0,1.0
77,0,2023-10-01 22:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,286.0,1.0
78,0,2023-10-01 23:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,286.0,0.0
79,0,2023-10-02 00:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,287.0,1.0
80,0,2023-10-02 01:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,287.0,0.0
81,0,2023-10-02 02:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,287.0,0.0
82,0,2023-10-02 03:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,288.0,1.0
83,0,2023-10-02 04:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,288.0,0.0
84,0,2023-10-02 05:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,289.0,1.0
85,0,2023-10-02 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,290.0,1.0
86,0,2023-10-02 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,292.0,2.0
87,0,2023-10-02 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,296.0,4.0
88,0,2023-10-02 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,301.0,5.0
89,0,2023-10-02 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,308.0,7.0
90,0,2023-10-02 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,321.0,13.0
91,0,2023-10-02 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,329.0,8.0
92,0,2023-10-02 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,335.0,6.0
93,0,2023-10-02 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,343.0,8.0
94,0,2023-10-02 15:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,349.0,6.0
95,0,2023-10-02 16:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,354.0,5.0
96,0,2023-10-02 17:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,368.0,14.0
97,0,2023-10-02 18:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,6.0
98,0,2023-10-02 19:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
99,0,2023-10-02 20:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
100,0,2023-10-02 21:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
101,0,2023-10-02 22:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
102,0,2023-10-02 23:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
103,0,2023-10-03 00:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
104,0,2023-10-03 01:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
105,0,2023-10-03 02:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
106,0,2023-10-03 03:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
107,0,2023-10-03 04:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
108,0,2023-10-03 05:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,374.0,0.0
109,0,2023-10-03 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,375.0,1.0
110,0,2023-10-03 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,375.0,0.0
111,0,2023-10-03 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,380.0,5.0
112,0,2023-10-03 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,393.0,13.0
113,0,2023-10-03 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,404.0,11.0
